"subject","trial_number","Cross_position","Circle_1","Position_1","Color_1","Circle_2","Position_2","Color_2","Position_3","Color_3","Position_4","Color_4","p_confidence","response_time","angle_1","angle_2","angle_3","angle_4","angle_1_cue","angle_2_cue","angle_3_cue","angle_4_cue"
"188985661","187","0","-1","135.1633006695572589706","7","-1","315.1633006695572589706","8","225.1633006695572589706","4","405.1633006695572589706","4","2","1575","135.1633006695572589706","315.1633006695572589706","225.1633006695572589706","405.1633006695572589706","225.1633006695572589706","405.1633006695572589706","315.1633006695572589706","495.1633006695572589706"
"188985661","188","0","1","43.8588509368381664899","9","1","223.8588509368381664899","9","-46.1411490631618335101","7","133.8588509368381664899","1","2","1262","-46.1411490631618335101","133.8588509368381664899","43.8588509368381664899","223.8588509368381664899","43.8588509368381664899","223.8588509368381664899","133.8588509368381664899","313.8588509368381664899"
"188985661","189","0","-1","7.4128606606770404142","4","-1","187.4128606606770404142","2","97.4128606606770404142","2","277.4128606606770404142","9","6","2312","7.4128606606770404142","187.4128606606770404142","97.4128606606770404142","277.4128606606770404142","97.4128606606770404142","277.4128606606770404142","187.4128606606770404142","367.4128606606770404142"
"188985661","190","0","1","151.1135333220273082588","9","1","331.1135333220273082588","5","61.1135333220273082588","9","241.1135333220273082588","7","7","3351","61.1135333220273082588","241.1135333220273082588","151.1135333220273082588","331.1135333220273082588","151.1135333220273082588","331.1135333220273082588","241.1135333220273082588","421.1135333220273082588"
"188985661","191","0","-1","110.4136499879913344557","3","-1","290.4136499879913344557","4","200.4136499879913344557","1","380.4136499879913344557","6","0","1025","110.4136499879913344557","290.4136499879913344557","200.4136499879913344557","380.4136499879913344557","200.4136499879913344557","380.4136499879913344557","290.4136499879913344557","470.4136499879913344557"
"188985661","192","0","-1","117.4108414671874811575","4","-1","297.4108414671874811575","1","207.4108414671874811575","2","387.4108414671874811575","9","7","981","117.4108414671874811575","297.4108414671874811575","207.4108414671874811575","387.4108414671874811575","207.4108414671874811575","387.4108414671874811575","297.4108414671874811575","477.4108414671874811575"
"188985661","193","0","1","20.0725333928299392028","1","1","200.0725333928299392028","9","-69.9274666071700607972","8","110.0725333928299392028","7","2","1231","-69.9274666071700607972","110.0725333928299392028","20.0725333928299392028","200.0725333928299392028","20.0725333928299392028","200.0725333928299392028","110.0725333928299392028","290.0725333928299392028"
"188985661","194","0","-1","78.1252427534491857841","8","-1","258.1252427534491857841","5","168.1252427534491857841","8","348.1252427534491857841","4","6","2472","78.1252427534491857841","258.1252427534491857841","168.1252427534491857841","348.1252427534491857841","168.1252427534491857841","348.1252427534491857841","258.1252427534491857841","438.1252427534491857841"
"188985661","195","0","-1","28.0145022571120421162","2","1","118.0145022571120421162","9","208.0145022571120421162","8","298.0145022571120421162","1","3","1474","28.0145022571120421162","208.0145022571120421162","118.0145022571120421162","298.0145022571120421162","118.0145022571120421162","298.0145022571120421162","208.0145022571120421162","388.0145022571120421162"
"188985661","196","0","-1","-100.3299227450811201834","5","1","-10.3299227450811201834","3","79.6700772549188798166","5","169.6700772549188798166","9","1","2293","-100.3299227450811201834","79.6700772549188798166","-10.3299227450811201834","169.6700772549188798166","-10.3299227450811201834","169.6700772549188798166","79.6700772549188798166","259.6700772549188513949"
"188985661","197","0","1","28.2189226891423743382","8","1","208.2189226891423743382","2","-61.7810773108576256618","5","118.2189226891423743382","4","6","1608","-61.7810773108576256618","118.2189226891423743382","28.2189226891423743382","208.2189226891423743382","28.2189226891423743382","208.2189226891423743382","118.2189226891423743382","298.2189226891423459165"
"188985661","198","0","1","83.4081977171376820479","7","1","263.4081977171376820479","7","-6.5918022828623179521","1","173.4081977171376820479","9","4","2120","-6.5918022828623179521","173.4081977171376820479","83.4081977171376820479","263.4081977171376820479","83.4081977171376820479","263.4081977171376820479","173.4081977171376820479","353.4081977171376820479"
"188985661","199","0","-1","175.0084539491237478614","2","1","265.0084539491237478614","3","355.0084539491237478614","6","445.0084539491237478614","8","2","2650","175.0084539491237478614","355.0084539491237478614","265.0084539491237478614","445.0084539491237478614","265.0084539491237478614","445.0084539491237478614","355.0084539491237478614","535.0084539491238047049"
"188985661","200","0","-1","-121.1384210784776200853","7","1","-31.1384210784776200853","8","58.8615789215223799147","7","148.8615789215223799147","5","2","3074","-121.1384210784776200853","58.8615789215223799147","-31.1384210784776200853","148.8615789215223799147","-31.1384210784776200853","148.8615789215223799147","58.8615789215223799147","238.8615789215223799147"
"188985661","201","0","-1","-113.1676008862367837082","9","1","-23.1676008862367837082","9","66.8323991137632162918","5","156.8323991137632162918","6","0","832","-113.1676008862367837082","66.8323991137632162918","-23.1676008862367837082","156.8323991137632162918","-23.1676008862367837082","156.8323991137632162918","66.8323991137632162918","246.8323991137632162918"
"188985661","202","0","1","60.4891147069840542372","6","1","240.4891147069840542372","5","-29.5108852930159457628","3","150.4891147069840542372","5","5","1309","-29.5108852930159457628","150.4891147069840542372","60.4891147069840542372","240.4891147069840542372","60.4891147069840542372","240.4891147069840542372","150.4891147069840542372","330.4891147069840826589"
"188985661","203","0","-1","147.7612246125380579542","8","1","237.7612246125380579542","5","327.7612246125380579542","1","417.7612246125380579542","3","7","1228","147.7612246125380579542","327.7612246125380579542","237.7612246125380579542","417.7612246125380579542","237.7612246125380579542","417.7612246125380579542","327.7612246125380579542","507.7612246125380579542"
"188985661","204","0","1","158.2820769698084575339","7","1","338.2820769698084859556","5","68.2820769698084575339","7","248.2820769698084575339","3","2","1497","68.2820769698084575339","248.2820769698084575339","158.2820769698084575339","338.2820769698084859556","158.2820769698084575339","338.2820769698084859556","248.2820769698084575339","428.2820769698084859556"
"188985661","205","0","1","262.0731168221852840361","9","1","442.0731168221852840361","1","172.0731168221852840361","6","352.0731168221852840361","7","6","2918","172.0731168221852840361","352.0731168221852840361","262.0731168221852840361","442.0731168221852840361","262.0731168221852840361","442.0731168221852840361","352.0731168221852840361","532.0731168221852840361"
"188985661","206","0","1","-20.3610691359176030346","2","1","159.6389308640823969654","2","-110.3610691359176030346","5","69.6389308640823969654","2","6","976","-110.3610691359176030346","69.6389308640823969654","-20.3610691359176030346","159.6389308640823969654","-20.3610691359176030346","159.6389308640823969654","69.6389308640823969654","249.6389308640823969654"
"188985661","207","0","-1","-90.3266119003124998699","6","1","-0.3266119003124998699","1","89.6733880996875001301","3","179.6733880996874859193","5","0","1603","-90.3266119003124998699","89.6733880996875001301","-0.3266119003124998699","179.6733880996874859193","-0.3266119003124998699","179.6733880996874859193","89.6733880996875001301","269.6733880996874859193"
"188985661","208","0","-1","52.0723387301136426686","7","1","142.0723387301136426686","2","232.0723387301136426686","2","322.0723387301136426686","5","7","1033","52.0723387301136426686","232.0723387301136426686","142.0723387301136426686","322.0723387301136426686","142.0723387301136426686","322.0723387301136426686","232.0723387301136426686","412.0723387301136426686"
"188985661","209","0","-1","-90.1731794863411124652","5","-1","89.8268205136588875348","1","-0.1731794863411124652","8","179.8268205136589017457","2","7","1916","-90.1731794863411124652","89.8268205136588875348","-0.1731794863411124652","179.8268205136589017457","-0.1731794863411124652","179.8268205136589017457","89.8268205136588875348","269.8268205136589017457"
"188985661","210","0","-1","-173.1102376135788460942","8","-1","6.8897623864211539058","4","-83.1102376135788460942","3","96.8897623864211539058","1","7","2006","-173.1102376135788460942","6.8897623864211539058","-83.1102376135788460942","96.8897623864211539058","-83.1102376135788460942","96.8897623864211539058","6.8897623864211539058","186.8897623864211539058"
"188985661","211","0","-1","116.4943334964323753411","5","-1","296.4943334964323753411","9","206.4943334964323753411","7","386.4943334964323753411","3","7","1034","116.4943334964323753411","296.4943334964323753411","206.4943334964323753411","386.4943334964323753411","206.4943334964323753411","386.4943334964323753411","296.4943334964323753411","476.4943334964323753411"
"188985661","212","0","-1","-10.098063943464779868","1","-1","169.901936056535220132","9","79.901936056535220132","4","259.9019360565351917103","2","2","1070","-10.098063943464779868","169.901936056535220132","79.901936056535220132","259.9019360565351917103","79.901936056535220132","259.9019360565351917103","169.901936056535220132","349.9019360565351917103"
"188985661","213","0","1","263.0766728690538229785","2","1","443.0766728690538229785","6","173.0766728690538229785","2","353.0766728690538229785","8","2","1541","173.0766728690538229785","353.0766728690538229785","263.0766728690538229785","443.0766728690538229785","263.0766728690538229785","443.0766728690538229785","353.0766728690538229785","533.0766728690538229785"
"188985661","214","0","1","55.9470391613307924672","2","1","235.9470391613307924672","4","-34.0529608386692075328","2","145.9470391613307924672","4","6","2976","-34.0529608386692075328","145.9470391613307924672","55.9470391613307924672","235.9470391613307924672","55.9470391613307924672","235.9470391613307924672","145.9470391613307924672","325.9470391613307924672"
"188985661","215","0","-1","56.1291748369413312503","7","-1","236.1291748369413312503","5","146.1291748369413312503","6","326.1291748369413312503","2","6","3424","56.1291748369413312503","236.1291748369413312503","146.1291748369413312503","326.1291748369413312503","146.1291748369413312503","326.1291748369413312503","236.1291748369413312503","416.1291748369413312503"
"188985661","216","0","-1","-9.6713741099628123266","9","-1","170.3286258900371876734","7","80.3286258900371876734","1","260.3286258900371876734","6","6","872","-9.6713741099628123266","170.3286258900371876734","80.3286258900371876734","260.3286258900371876734","80.3286258900371876734","260.3286258900371876734","170.3286258900371876734","350.3286258900371876734"
"188985661","217","0","1","94.4341042694715326888","9","1","274.4341042694715042671","3","4.4341042694715326888","2","184.4341042694715326888","9","4","2636","4.4341042694715326888","184.4341042694715326888","94.4341042694715326888","274.4341042694715042671","94.4341042694715326888","274.4341042694715042671","184.4341042694715326888","364.4341042694715042671"
"188985661","218","0","-1","27.2528030926484632346","6","1","117.2528030926484632346","8","207.2528030926484632346","3","297.2528030926484916563","2","2","1074","27.2528030926484632346","207.2528030926484632346","117.2528030926484632346","297.2528030926484916563","117.2528030926484632346","297.2528030926484916563","207.2528030926484632346","387.2528030926484916563"
"188985661","219","0","-1","-13.2318881417699003578","9","-1","166.7681118582300996422","8","76.7681118582300996422","6","256.7681118582300996422","9","2","2638","-13.2318881417699003578","166.7681118582300996422","76.7681118582300996422","256.7681118582300996422","76.7681118582300996422","256.7681118582300996422","166.7681118582300996422","346.7681118582300996422"
"188985661","220","0","1","11.0361713033719439636","6","1","191.0361713033719297528","2","-78.9638286966280560364","1","101.0361713033719439636","9","5","1487","-78.9638286966280560364","101.0361713033719439636","11.0361713033719439636","191.0361713033719297528","11.0361713033719439636","191.0361713033719297528","101.0361713033719439636","281.0361713033719297528"
"188985661","221","0","-1","166.5972015416708700286","1","1","256.5972015416708700286","7","346.5972015416708700286","5","436.5972015416708700286","7","7","1000","166.5972015416708700286","346.5972015416708700286","256.5972015416708700286","436.5972015416708700286","256.5972015416708700286","436.5972015416708700286","346.5972015416708700286","526.5972015416708700286"
"188985661","222","0","1","242.0823936751303904202","3","1","422.0823936751303904202","1","152.0823936751303904202","5","332.0823936751303904202","7","5","2091","152.0823936751303904202","332.0823936751303904202","242.0823936751303904202","422.0823936751303904202","242.0823936751303904202","422.0823936751303904202","332.0823936751303904202","512.0823936751303335768"
"188985661","223","0","-1","136.3378885286715558323","3","-1","316.3378885286715558323","1","226.3378885286715558323","6","406.3378885286715558323","5","7","987","136.3378885286715558323","316.3378885286715558323","226.3378885286715558323","406.3378885286715558323","226.3378885286715558323","406.3378885286715558323","316.3378885286715558323","496.3378885286715558323"
"188985661","224","0","-1","136.4349589302285608028","4","1","226.4349589302285608028","5","316.4349589302285608028","2","406.4349589302285608028","9","2","1368","136.4349589302285608028","316.4349589302285608028","226.4349589302285608028","406.4349589302285608028","226.4349589302285608028","406.4349589302285608028","316.4349589302285608028","496.4349589302285608028"
"188985661","225","0","1","220.7811800834679161198","9","1","400.7811800834679161198","7","130.7811800834679161198","5","310.7811800834679161198","6","7","1941","130.7811800834679161198","310.7811800834679161198","220.7811800834679161198","400.7811800834679161198","220.7811800834679161198","400.7811800834679161198","310.7811800834679161198","490.7811800834679161198"
"188985661","226","0","-1","135.9164776177882458796","9","-1","315.9164776177882458796","6","225.9164776177882458796","2","405.9164776177882458796","1","7","760","135.9164776177882458796","315.9164776177882458796","225.9164776177882458796","405.9164776177882458796","225.9164776177882458796","405.9164776177882458796","315.9164776177882458796","495.9164776177882458796"
"188985661","227","0","-1","-107.1596544438879163863","5","-1","72.8403455561120836137","8","-17.1596544438879163863","1","162.8403455561120836137","4","5","1425","-107.1596544438879163863","72.8403455561120836137","-17.1596544438879163863","162.8403455561120836137","-17.1596544438879163863","162.8403455561120836137","72.8403455561120836137","252.8403455561120836137"
